epoch_count,regression_error,classification_error
926,0.12243,0.157895
927,0.126788,0.236842
928,0.132402,0.368421
929,0.138424,0.421053
930,0.128542,0.315789
931,0.120746,0.157895
932,0.125609,0.236842
933,0.123506,0.210526
934,0.12963,0.342105
935,0.121595,0.157895
936,0.114988,0.0526316
937,0.120102,0.157895
938,0.118373,0.131579
939,0.12372,0.210526
940,0.129876,0.368421
941,0.13622,0.368421
942,0.141575,0.421053
943,0.131655,0.368421
944,0.129344,0.342105
945,0.126899,0.315789
946,0.125079,0.236842
947,0.117702,0.131579
948,0.116446,0.131579
949,0.122036,0.184211
950,0.126893,0.315789
951,0.132577,0.368421
952,0.137194,0.421053
953,0.13439,0.368421
954,0.125185,0.236842
955,0.130736,0.368421
956,0.136133,0.421053
957,0.142118,0.421053
958,0.148002,0.421053
959,0.137348,0.421053
960,0.127519,0.315789
961,0.131042,0.368421
962,0.128572,0.342105
963,0.11996,0.157895
964,0.123325,0.210526
965,0.121381,0.184211
966,0.114979,0.0789474
967,0.120014,0.157895
968,0.113437,0.0526316
969,0.108416,0.0789474
970,0.105161,0.157895
971,0.107985,0.0789474
972,0.104844,0.157895
973,0.108325,0.0789474
974,0.107406,0.0789474
975,0.111432,0.0526316
976,0.115655,0.0789474
977,0.110552,0.0789474
978,0.109609,0.0789474
979,0.112508,0.0526316
980,0.111299,0.0526316
981,0.106812,0.0789474
982,0.103518,0.157895
983,0.103033,0.157895
984,0.101002,0.184211
985,0.100184,0.210526
986,0.0995544,0.210526
987,0.100583,0.210526
988,0.102674,0.157895
989,0.104994,0.105263
990,0.108778,0.0789474
991,0.107971,0.0789474
992,0.112107,0.0526316
993,0.107311,0.0789474
994,0.111778,0.0526316
995,0.116529,0.131579
996,0.114916,0.0789474
997,0.119664,0.157895
998,0.12423,0.236842
999,0.128967,0.315789
1000,0.126854,0.315789
1001,0.131607,0.368421
1002,0.129612,0.368421
1003,0.134835,0.368421
1004,0.139093,0.421053
1005,0.136329,0.421053
1006,0.133774,0.368421
1007,0.139038,0.421053
1008,0.145185,0.421053
1009,0.149906,0.421053
1010,0.140011,0.421053
1011,0.137473,0.421053
1012,0.142689,0.421053
1013,0.146265,0.421053
1014,0.151387,0.421053
1015,0.156532,0.421053
1016,0.144156,0.421053
1017,0.134194,0.368421
1018,0.131815,0.368421
1019,0.129392,0.368421
1020,0.121144,0.184211
1021,0.120028,0.157895
1022,0.126555,0.315789
1023,0.132735,0.368421
1024,0.130528,0.368421
1025,0.136189,0.421053
1026,0.126544,0.315789
1027,0.13127,0.368421
1028,0.122435,0.210526
1029,0.126815,0.315789
1030,0.132472,0.368421
1031,0.123334,0.210526
1032,0.115905,0.131579
1033,0.12168,0.184211
1034,0.11962,0.157895
1035,0.123795,0.236842
1036,0.12806,0.315789
1037,0.133241,0.368421
1038,0.137197,0.394737
1039,0.134874,0.394737
1040,0.141579,0.421053
1041,0.146739,0.421053
1042,0.152263,0.421053
1043,0.140428,0.421053
1044,0.143961,0.421053
1045,0.149562,0.421053
1046,0.138136,0.421053
1047,0.142403,0.421053
1048,0.146572,0.421053
1049,0.150665,0.421053
1050,0.155106,0.421053
1051,0.159145,0.421053
1052,0.163231,0.421053
1053,0.16651,0.421053
1054,0.154775,0.421053
1055,0.151733,0.421053
1056,0.148151,0.421053
1057,0.145028,0.421053
1058,0.150574,0.421053
1059,0.15534,0.421053
1060,0.160881,0.421053
1061,0.14828,0.421053
1062,0.152286,0.421053
1063,0.148617,0.421053
1064,0.145233,0.421053
1065,0.13483,0.394737
1066,0.132406,0.368421
1067,0.123524,0.236842
1068,0.122178,0.236842
1069,0.115291,0.131579
1070,0.10963,0.0526316
1071,0.112567,0.0789474
1072,0.107381,0.0789474
1073,0.111614,0.0789474
1074,0.110801,0.0526316
1075,0.11598,0.131579
1076,0.114371,0.131579
1077,0.118352,0.157895
1078,0.11693,0.157895
1079,0.1114,0.0789474
1080,0.115636,0.131579
1081,0.110132,0.0526316
1082,0.105517,0.0789474
1083,0.102169,0.157895
1084,0.0997982,0.157895
1085,0.101756,0.157895
1086,0.101297,0.157895
1087,0.104014,0.0789474
1088,0.106922,0.0789474
1089,0.103049,0.105263
1090,0.100973,0.157895
1091,0.103655,0.105263
1092,0.107082,0.0789474
1093,0.111363,0.0526316
1094,0.114314,0.105263
1095,0.112941,0.0789474
1096,0.117395,0.131579
1097,0.122687,0.210526
1098,0.127219,0.315789
1099,0.119112,0.157895
1100,0.11753,0.131579
1101,0.121197,0.184211
1102,0.118901,0.157895
1103,0.123561,0.236842
1104,0.120789,0.210526
1105,0.119318,0.184211
1106,0.122479,0.236842
1107,0.115077,0.131579
1108,0.109622,0.0526316
1109,0.112893,0.0789474
1110,0.107361,0.0789474
1111,0.112741,0.0789474
1112,0.107332,0.0789474
1113,0.106128,0.0789474
1114,0.105239,0.0789474
1115,0.102471,0.105263
1116,0.105355,0.0789474
1117,0.102308,0.157895
1118,0.0999345,0.157895
1119,0.101746,0.157895
1120,0.105236,0.0789474
1121,0.101743,0.157895
1122,0.104415,0.0789474
1123,0.106729,0.0789474
1124,0.102972,0.157895
1125,0.100356,0.157895
1126,0.0996911,0.157895
1127,0.0992609,0.157895
1128,0.0979632,0.184211
1129,0.097228,0.210526
1130,0.0969654,0.210526
1131,0.0977581,0.184211
1132,0.0969038,0.210526
1133,0.0967052,0.210526
1134,0.0965096,0.210526
1135,0.0972351,0.184211
